group	individual	noise	subj-id	dataset	atlas
0.0032582936704209854	0.0055656561109151785	0.9911760502186638		Pontine	MNISymDentate1
0.002645277441334514	0.002195309654594342	0.9951594129040711	S98	Pontine	MNISymDentate1
0.0031902028054327926	0.007332844832150652	0.9894769523624166	S97	Pontine	MNISymDentate1
0.002884101161879332	0.00925189699281709	0.9878640018453037	S96	Pontine	MNISymDentate1
0.003676732500824263	0.004758899210086995	0.9915643682890888	S95	Pontine	MNISymDentate1
0.0024082873030706552	0.01222623182321969	0.9853654808737097	S01	Pontine	MNISymDentate1
-8.235999574905201e-05	0.011697221309702077	0.9883851386860469	S03	Pontine	MNISymDentate1
0.0038132322162548996	0.00637055808026643	0.9898162097034786	S04	Pontine	MNISymDentate1
0.005005456251964647	0.017261711174139462	0.977732832573896	S07	Pontine	MNISymDentate1
0.004113144421789544	0.008388476250573623	0.9874983793276367	S08	Pontine	MNISymDentate1
0.002020996386251887	0.017388682356115664	0.9805903212576323		Pontine	MNISymDentate1
0.00202392912729882	0.016993463730339897	0.9809826071423613	S10	Pontine	MNISymDentate1
0.002248323490244821	0.012175357643629174	0.985576318866126	S11	Pontine	MNISymDentate1
0.003674000169800986	0.01947750002966089	0.9768484998005382	S12	Pontine	MNISymDentate1
-0.0010214894049103537	0.0043313271064313544	0.9966901622984791	S13	Pontine	MNISymDentate1
0.004178372490133812	0.02896873058989232	0.9668528969199739	S14	Pontine	MNISymDentate1
0.002778457498935183	0.008637614510525742	0.9885839279905391	sub-02	MDTB	MNISymDentate1
0.0016396588615962238	0.002130100217992285	0.9962302409204115	sub-03	MDTB	MNISymDentate1
0.001620672136361469	0.004270130043863509	0.994109197819775	sub-04	MDTB	MNISymDentate1
0.002183910409729318	0.004424498177162029	0.9933915914131086	sub-06	MDTB	MNISymDentate1
-7.183503798535528e-05	0.004332296472944186	0.995739538565041	sub-08	MDTB	MNISymDentate1
0.0017581389319616732	0.0011718534108065152	0.9970700076572317	sub-09	MDTB	MNISymDentate1
0.001751983079011249	0.004494299799876496	0.9937537171211122	sub-10	MDTB	MNISymDentate1
0.0026050492333634418	0.006049331367736724	0.9913456193988998	sub-12	MDTB	MNISymDentate1
0.0008260348867034234	0.0065525698443704245	0.9926213952689261	sub-14	MDTB	MNISymDentate1
0.0011847133463624526	0.00435651677710003	0.9944587698765375	sub-15	MDTB	MNISymDentate1
0.002391781831044332	0.009530701203027502	0.9880775169659282	sub-17	MDTB	MNISymDentate1
0.0012700420026312109	0.0015573563909842241	0.9971726016063845	sub-18	MDTB	MNISymDentate1
0.0019328468669045347	0.004150784147478705	0.9939163689856167	sub-19	MDTB	MNISymDentate1
0.002224312101074437	0.0027675006952701912	0.9950081872036554	sub-20	MDTB	MNISymDentate1
0.0020144415867481688	-0.0008541357014926277	0.9988396941147445	sub-21	MDTB	MNISymDentate1
0.002479883257829848	0.006393207430885849	0.9911269093112842	sub-22	MDTB	MNISymDentate1
0.0011547165123823155	0.002241240365854979	0.9966040431217627	sub-24	MDTB	MNISymDentate1
0.0020985560259920138	0.0050992193898491125	0.9928022245841588	sub-25	MDTB	MNISymDentate1
0.0020973307388401376	0.005851848061798986	0.9920508211993608	sub-26	MDTB	MNISymDentate1
0.0027104805235115114	0.007262932446468218	0.9900265870300203	sub-27	MDTB	MNISymDentate1
0.0023227599832265004	0.0023704245995673726	0.9953068154172061	sub-28	MDTB	MNISymDentate1
0.0014677464816757954	0.003964973017916153	0.9945672805004081	sub-29	MDTB	MNISymDentate1
0.0009009892801783391	0.004437228068577342	0.9946617826512443	sub-30	MDTB	MNISymDentate1
0.001917558670640365	0.002266898333658901	0.9958155429957006	sub-31	MDTB	MNISymDentate1
0.006071554612682905	0.050576986502996496	0.9433514588843206	sub-01	Language	MNISymDentate1
0.0019383419529395913	0.03792573986355945	0.960135918183501	sub-02	Language	MNISymDentate1
-0.0006456907944891309	-0.0032733528752536233	1.0039190436697427	sub-03	Language	MNISymDentate1
0.00515244760869306	0.01617440870391048	0.9786731436873964	sub-04	Language	MNISymDentate1
0.003552721375268703	0.027022955010215313	0.9694243236145159	sub-06	Language	MNISymDentate1
0.0012257780746719018	0.024325393883422072	0.9744488280419059	sub-07	Language	MNISymDentate1
0.0032857067577207735	0.014318663081684361	0.9823956301605948	sub-08	Language	MNISymDentate1
0.0033392543975292502	0.009109268871172624	0.9875514767312982	sub-09	Language	MNISymDentate1
0.003728984206313796	0.02436752154445621	0.97190349424923	sub-10	Language	MNISymDentate1
0.003504758890934258	0.014443623628693381	0.9820516174803723	sub-12	Language	MNISymDentate1
0.005172838092733543	0.011157693544907496	0.9836694683623589	sub-13	Language	MNISymDentate1
0.0030122594313695926	0.04509125326560657	0.9518964873030239	sub-14	Language	MNISymDentate1
0.003372209967828574	0.02881433485641018	0.9678134551757613	sub-15	Language	MNISymDentate1
0.0031547579904209234	0.00880683234787504	0.988038409661704	sub-16	Language	MNISymDentate1
0.005810531497633081	0.02418912406109467	0.9700003444412724	sub-17	Language	MNISymDentate1
0.0019949405345053178	0.013959842729877657	0.984045216735617	sub-18	Language	MNISymDentate1
0.003305982281997133	0.037688185829400145	0.9590058318886027	sub-19	Language	MNISymDentate1
0.10397238926946187	0.11796472919789686	0.7780628815326412		Pontine	MNISymCereb2
0.18018243688864574	0.10719848731078141	0.7126190758005729	S98	Pontine	MNISymCereb2
0.1266627899257524	0.04193315818155779	0.8314040518926897	S97	Pontine	MNISymCereb2
0.0723321441273119	0.02012487728864669	0.9075429785840414	S96	Pontine	MNISymCereb2
